Dan,Password,1000.0
daniel,dan,0.0
password,dan,0.0
tester,tester,6950.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
Jakob,Jakob,0.0
Wilbur,Jakob,0.0
